Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
1,Initech,Radio,45-54,62,Facebook,0.031,63.11,21.77,San Diego,German,910,16145,0.04,Youth,2021-01-01
2,Umbrella,Influencer,35-44,23,Google Ads,0.1598,158.41,94.4,Chicago,Spanish,503,8809,4.48,Senior,2021-01-01
3,Globex,TV,18-24,33,TV,0.032,280.79,0.0,Los Angeles,French,4789,67917,8.37,Youth,2021-01-01
4,Acme Corp,Influencer,45-54,9,Twitter,0.1725,65.6,41.26,Chicago,Spanish,2374,12029,0.35,Youth,2021-01-01
5,Umbrella,Influencer,45-54,35,YouTube,0.0729,77.41,71.45,San Diego,French,2327,21084,6.94,Middle Aged,2021-01-01
6,Globex,Social Media,35-44,10,Radio,0.1199,158.62,127.0,San Diego,German,3117,50249,5.01,Middle Aged,2021-01-01
7,Umbrella,TV,35-44,33,Twitter,0.0232,72.71,38.51,New York,Spanish,1538,12725,7.9,Middle Aged,2021-01-01
8,Hooli,TV,18-24,82,TV,0.0933,300.99,77.09,Dallas,Spanish,2983,42520,2.61,Senior,2021-01-01
9,Hooli,TV,45-54,80,Twitter,0.036,57.45,51.62,Houston,English,3484,45936,8.82,Senior,2021-01-01
10,Initech,Influencer,45-54,20,Radio,0.1531,141.45,78.4,New York,French,763,7100,2.97,Middle Aged,2021-01-01
11,Globex,Radio,45-54,62,YouTube,0.0782,98.67,0.0,Los Angeles,English,2084,40281,9.51,Senior,2021-01-01
12,Hooli,TV,45-54,28,Twitter,0.0327,64.78,48.34,Dallas,English,253,2497,6.4,Senior,2021-01-01
13,Umbrella,Influencer,18-24,30,YouTube,0.1507,99.15,13.43,Dallas,German,3988,71967,1.97,Middle Aged,2021-01-01
14,Initech,Social Media,25-34,17,TV,0.0792,270.07,64.17,Houston,English,832,11792,7.76,Youth,2021-01-01
15,Hooli,Radio,45-54,78,YouTube,0.01,56.98,75.99,Houston,English,905,5745,5.35,Senior,2021-01-01
16,Initech,Social Media,55+,35,Google Ads,0.0952,126.94,62.03,Phoenix,English,3207,55113,4.08,Senior,2021-01-01
17,Globex,Radio,18-24,79,Google Ads,0.01,127.59,31.27,New York,French,4317,69146,4.72,Youth,2021-01-01
18,Hooli,Influencer,25-34,44,YouTube,0.1004,104.69,104.64,New York,Spanish,281,5551,3.99,Youth,2021-01-01
19,Hooli,Email,35-44,76,Facebook,0.1232,90.56,54.29,Chicago,French,3779,53302,7.07,Youth,2021-01-01
20,Acme Corp,Radio,25-34,15,Instagram,0.0513,80.95,100.37,Phoenix,German,4168,63146,2.59,Middle Aged,2021-01-01
21,Acme Corp,Social Media,35-44,51,Facebook,0.0504,72.97,76.4,San Diego,Spanish,3275,59614,5.12,Youth,2021-01-01
22,Globex,Influencer,55+,32,YouTube,0.0832,90.44,48.43,Chicago,French,3253,19629,7.55,Middle Aged,2021-01-01
23,Globex,Radio,18-24,58,Instagram,0.01,53.8,0.0,Los Angeles,French,1803,10957,1.44,Youth,2021-01-01
24,Acme Corp,Email,25-34,12,Google Ads,0.1287,131.5,59.25,Chicago,Spanish,437,3164,2.92,Youth,2021-01-01
25,Hooli,Email,35-44,27,Instagram,0.1649,105.71,76.79,Chicago,French,3435,62561,2.13,Middle Aged,2021-01-02
26,Initech,TV,45-54,66,YouTube,0.0773,118.64,54.86,Houston,English,4426,57808,5.72,Middle Aged,2021-01-02
27,Globex,TV,55+,65,Google Ads,0.0768,113.78,111.41,Chicago,German,4974,34914,4.12,Youth,2021-01-02
28,Acme Corp,Social Media,55+,27,Instagram,0.079,75.65,90.49,Houston,French,3398,24308,3.24,Youth,2021-01-02
29,Initech,Radio,18-24,17,Instagram,0.0382,80.59,30.39,San Diego,Spanish,827,9711,3.58,Youth,2021-01-02
30,Acme Corp,Radio,18-24,26,Facebook,0.0345,69.69,4.54,Los Angeles,German,3671,62822,4.7,Senior,2021-01-02
31,Umbrella,TV,18-24,23,Instagram,0.0633,49.93,0.0,San Diego,French,3120,54015,4.18,Youth,2021-01-02
32,Hooli,Radio,18-24,57,TV,0.0736,305.94,75.17,Chicago,Spanish,3037,52405,7.06,Middle Aged,2021-01-02
33,Initech,Radio,45-54,70,YouTube,0.0355,116.87,35.98,Phoenix,French,4123,66019,6.93,Senior,2021-01-02
34,Acme Corp,Email,55+,61,Email,0.166,54.33,134.13,Los Angeles,Spanish,2113,10733,0.27,Middle Aged,2021-01-02
35,Initech,TV,45-54,22,Email,0.0128,50.45,25.29,San Diego,Spanish,4096,62091,7.1,Senior,2021-01-02
36,Umbrella,Influencer,18-24,83,Email,0.1456,37.45,44.79,Houston,French,1933,23790,2.22,Senior,2021-01-02
37,Umbrella,TV,25-34,60,YouTube,0.0565,115.24,53.62,Phoenix,Spanish,4198,63943,4.2,Middle Aged,2021-01-02
38,Hooli,Influencer,35-44,60,Email,0.089,48.25,61.97,Los Angeles,French,1599,19455,2.22,Senior,2021-01-02
39,Acme Corp,Email,25-34,62,Facebook,0.1821,55.63,141.65,New York,English,3501,42971,1.19,Middle Aged,2021-01-02
40,Acme Corp,Social Media,55+,13,YouTube,0.0428,126.46,8.79,San Diego,German,4037,25077,5.84,Youth,2021-01-02
41,Acme Corp,Radio,55+,19,TV,0.01,312.93,0.0,New York,English,1007,18710,9.51,Senior,2021-01-02
42,Globex,Email,45-54,89,Google Ads,0.1754,153.1,97.36,Los Angeles,French,2327,24250,3.72,Middle Aged,2021-01-02
43,Hooli,Radio,35-44,50,TV,0.0516,323.26,24.78,San Diego,German,4320,56299,6.78,Senior,2021-01-02
44,Umbrella,Social Media,18-24,46,YouTube,0.0437,87.54,0.0,Los Angeles,Spanish,2144,17772,4.53,Middle Aged,2021-01-02
45,Hooli,Social Media,18-24,75,YouTube,0.0907,94.3,19.23,Chicago,Spanish,2793,27966,1.81,Youth,2021-01-02
46,Globex,Email,25-34,34,Instagram,0.1851,110.23,156.98,Chicago,German,2110,38112,9.21,Youth,2021-01-02
47,Acme Corp,Social Media,35-44,87,Instagram,0.0878,66.49,42.59,San Diego,German,4018,32152,4.5,Senior,2021-01-02
48,Umbrella,Influencer,45-54,46,Instagram,0.1932,123.12,155.83,Los Angeles,French,2349,18976,0.08,Senior,2021-01-02
49,Acme Corp,Social Media,18-24,68,Radio,0.0545,156.55,136.55,Phoenix,German,763,6858,4.57,Middle Aged,2021-01-03
50,Globex,Radio,55+,65,Radio,0.01,166.56,0.0,Houston,French,427,5698,0.06,Middle Aged,2021-01-03
51,Globex,Radio,18-24,56,Twitter,0.01,76.46,0.0,Los Angeles,English,948,11445,7.94,Senior,2021-01-03
52,Acme Corp,Radio,35-44,17,Radio,0.01,151.07,0.0,New York,English,4784,33719,3.68,Middle Aged,2021-01-03
53,Acme Corp,Radio,55+,21,Facebook,0.1042,74.19,110.18,Chicago,German,364,6341,6.15,Middle Aged,2021-01-03
54,Initech,Influencer,45-54,66,YouTube,0.1199,97.07,57.36,Chicago,German,1566,29081,7.67,Middle Aged,2021-01-03
55,Umbrella,TV,18-24,16,TV,0.1082,246.59,63.48,San Diego,Spanish,353,2867,0.28,Senior,2021-01-03
56,Umbrella,Email,55+,26,YouTube,0.1394,111.26,56.34,New York,Spanish,1193,18742,5.18,Youth,2021-01-03
57,Hooli,Radio,45-54,36,Instagram,0.0128,133.57,5.85,Phoenix,Spanish,4160,54547,6.38,Youth,2021-01-03
58,Hooli,Social Media,35-44,41,YouTube,0.0281,83.42,149.72,Dallas,German,3513,32261,4.71,Middle Aged,2021-01-03
59,Globex,Radio,45-54,65,Google Ads,0.0281,90.64,0.0,Los Angeles,German,1336,19333,3.06,Senior,2021-01-03
60,Umbrella,Social Media,45-54,57,Radio,0.1053,181.38,0.0,San Diego,German,1908,15946,4.63,Middle Aged,2021-01-03
61,Globex,Social Media,55+,64,YouTube,0.0733,107.55,37.92,Phoenix,German,709,12389,3.93,Youth,2021-01-03
62,Acme Corp,Radio,18-24,18,TV,0.01,318.09,0.0,Phoenix,English,2109,11238,6.12,Middle Aged,2021-01-03
63,Umbrella,Influencer,55+,52,Email,0.1396,60.07,108.62,Los Angeles,French,2133,28558,4.69,Youth,2021-01-03
64,Globex,Social Media,25-34,13,Google Ads,0.1052,101.45,56.92,Phoenix,Spanish,3294,29911,1.3,Senior,2021-01-03
65,Initech,Social Media,55+,70,Google Ads,0.0641,138.18,93.49,New York,French,649,11839,0.84,Middle Aged,2021-01-03
66,Initech,Radio,55+,24,YouTube,0.0203,90.14,0.0,San Diego,German,1318,16078,1.63,Senior,2021-01-03
67,Umbrella,Social Media,18-24,34,Twitter,0.0287,53.48,47.22,Dallas,English,2417,41785,0.66,Middle Aged,2021-01-03
68,Umbrella,Social Media,35-44,17,Instagram,0.0988,102.77,122.28,Dallas,Spanish,1613,29172,2.54,Middle Aged,2021-01-03
69,Hooli,Radio,25-34,41,Facebook,0.0261,83.46,0.0,San Diego,Spanish,4973,49929,0.7,Middle Aged,2021-01-03
70,Umbrella,Radio,18-24,82,Facebook,0.01,88.26,0.0,Los Angeles,Spanish,4394,79398,6.04,Middle Aged,2021-01-03
71,Hooli,Email,18-24,82,Email,0.1054,57.55,34.68,San Diego,Spanish,2289,34910,4.45,Middle Aged,2021-01-03
72,Initech,Influencer,45-54,21,Facebook,0.1369,96.61,45.31,Chicago,French,1364,8924,2.55,Senior,2021-01-03
73,Initech,Influencer,25-34,60,Facebook,0.1097,105.93,113.96,Los Angeles,Spanish,3297,19812,0.13,Senior,2021-01-04
74,Initech,Social Media,45-54,46,Instagram,0.0459,94.23,0.0,Dallas,English,1389,24236,1.46,Youth,2021-01-04
75,Acme Corp,Influencer,45-54,25,Radio,0.1216,178.89,95.32,Chicago,Spanish,454,5960,6.67,Middle Aged,2021-01-04
76,Umbrella,Social Media,18-24,46,Instagram,0.0548,112.63,0.0,Houston,English,2964,35656,2.49,Youth,2021-01-04
77,Initech,Email,35-44,59,Twitter,0.1307,84.8,6.31,Los Angeles,Spanish,4129,74763,3.33,Senior,2021-01-04
78,Hooli,Radio,18-24,16,TV,0.0319,288.5,24.96,Chicago,French,2323,42673,0.76,Youth,2021-01-04
79,Hooli,Radio,55+,78,Email,0.0906,69.59,0.0,Phoenix,German,4582,28218,5.48,Senior,2021-01-04
80,Globex,Radio,35-44,28,Facebook,0.0904,88.55,0.0,Houston,French,3218,32998,8.04,Middle Aged,2021-01-04
